,mushroom,stubby,filopodium,thin,NS
mushroom,0.43209876543209874,0.2139917695473251,0.03292181069958848,0.23045267489711935,0.09053497942386832
stubby,0.125,0.5466417910447762,0.007462686567164179,0.166044776119403,0.15485074626865672
filopodium,0.12121212121212122,0.18181818181818182,0.09090909090909091,0.3939393939393939,0.21212121212121213
thin,0.11888111888111888,0.26573426573426573,0.055944055944055944,0.4405594405594406,0.11888111888111888
NS,0.058544303797468354,0.22151898734177214,0.02689873417721519,0.17563291139240506,0.5174050632911392
